Industry Name,Yahoo Finance Equivalent,Average PE Ratio,Average ROE,Average Profit Margin
Advertising,Advertising Agencies,20.95,0.34%,2.93%
Aerospace/Defense,Aerospace & Defense,291.56,2.49%,8.54%
Air Transport,Airlines,8.14,-25.03%,-47.03%
Air Transport,Airports & Air Services,8.14,-25.03%,-47.03%
Apparel,Apparel Retail,22.38,-3.94%,-8.19%
Apparel,Apparel Manufacturing,22.38,-3.94%,-8.19%
Apparel,Textile Manufacturing,22.38,-3.94%,-8.19%
Auto & Truck,Auto Manufacturers,164.37,1.40%,4.49%
Auto Parts,Auto Parts,27.43,-4.45%,-14.31%
Bank (Money Center),,8.46,20.98%,7.41%
Banks (Regional),Banks—Regional,13.5,23.79%,8.22%
Banks (Regional),Banks—Diversified,13.5,23.79%,8.22%
Beverage (Alcoholic),Beverages—Wineries & Distilleries,45.64,11.95%,10.10%
Beverage (Alcoholic),Beverages—Brewers,45.64,11.95%,10.10%
Beverage (Soft),Beverages—Non-Alcoholic,201.34,14.10%,28.86%
Broadcasting,Broadcasting,15.1,0.12%,0.24%
Brokerage & Investment Banking,Capital Markets,21.14,12.71%,12.08%
Building Materials,Building Materials,28.19,5.06%,20.54%
Building Materials,Building Products & Equipment,28.19,5.06%,20.54%
Building Materials,Lumber & Wood Production,28.19,5.06%,20.54%
Business & Consumer Services,Personal Services,38.25,2.47%,6.81%
Business & Consumer Services,Specialty Business Services,38.25,2.47%,6.81%
Business & Consumer Services,Consulting Services,38.25,2.47%,6.81%
Business & Consumer Services,Staffing & Employment Services,38.25,2.47%,6.81%
Business & Consumer Services,Travel Services,38.25,2.47%,6.81%
Business & Consumer Services,Security & Protection Services,38.25,2.47%,6.81%
Cable TV,,68.46,8.50%,11.47%
Chemical (Basic),Chemicals,13.8,-0.72%,-1.82%
Chemical (Diversified),,13.89,6.43%,13.25%
Chemical (Specialty),Specialty Chemicals,36.06,2.21%,2.50%
Coal & Related Energy,Thermal Coal,2.85,-31.79%,-41.66%
Coal & Related Energy,Coking Coal,2.85,-31.79%,-41.66%
Computer Services,Internet Content & Information,45.38,3.62%,13.50%
Computers/Peripherals,Computer Hardware,40.61,12.48%,50.53%
Construction Supplies,,84.99,5.86%,13.20%
Diversified,,26.18,12.18%,10.62%
Drugs (Biotechnology),Biotechnology,31,-0.94%,-1.19%
Drugs (Pharmaceutical),Drug Manufacturers—General,122.82,14.10%,18.98%
Drugs (Pharmaceutical),Drug Manufacturers—Specialty & Generic,122.82,14.10%,18.98%
Education,Education & Training Services,26.92,-4.82%,-5.66%
Electrical Equipment,Electrical Equipment & Parts,51.61,7.63%,17.67%
Electrical Equipment,Scientific & Technical Instruments,51.61,7.63%,17.67%
Electronics (Consumer & Office),Consumer Electronics,57.06,-1.53%,-4.89%
Electronics (General),Electronic Components,81.09,3.49%,6.67%
Electronics (General),Electronics & Computer Distribution,81.09,3.49%,6.67%
Engineering/Construction,Engineering & Construction,27.42,0.75%,2.54%
